City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Pisco,PE,74.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
103,East London,ZA,69.35,light rain,-33.0153,27.9116,Tu Casa
105,Hobart,AU,63.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
109,Port Alfred,ZA,70.68,overcast clouds,-33.5906,26.891,The Halyards Hotel
110,Lukang,TW,60.44,few clouds,24.0567,120.4352,二鹿行館 Lu Kang Bed and Breakbast
114,Salalah,OM,70.21,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
115,Karratha,AU,83.61,broken clouds,-20.7377,116.8463,ibis Styles Karratha
116,Richards Bay,ZA,72.14,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
117,Ancud,CL,70.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
119,Santa Cruz,BO,71.65,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
120,Cidreira,BR,74.91,overcast clouds,-30.1811,-50.2056,Hotel Castelo
122,Benjamin Hill,MX,67.62,clear sky,30.1667,-111.1,Hotel Benjamín Hill
123,Castro,BR,67.98,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
125,San Jose,US,67.53,overcast clouds,37.3394,-121.895,The Westin San Jose
126,Mwense,ZM,65.17,light rain,-10.3845,28.698,Mwense Council Guest House
129,Sibolga,ID,75.09,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
130,Plaza De Caisan,PA,77.95,clear sky,8.7333,-82.8167,Rolando Peralta
131,Laguna,US,68.65,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
132,Sydney,AU,73.35,few clouds,-33.8679,151.2073,The Grace Sydney
133,Umm Lajj,SA,62.98,clear sky,25.0213,37.2685,Moon light Furnished Units
134,Adre,TD,61.09,clear sky,13.4667,22.2,
137,Sola,VU,82.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
144,Sinazongwe,ZM,71.94,light rain,-17.2614,27.4618,Lakeview Lodge
145,Kaeo,NZ,76.32,overcast clouds,-35.1,173.7833,Bushido Lodge
146,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
147,Vao,NC,80.08,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
149,Rocha,UY,67.62,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
150,Kokopo,PG,80.29,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
151,Kavaratti,IN,78.08,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
