City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (in),Snow (in)
117,Ancud,CL,2022-02-05 22:02:49,-41.8697,-73.8203,70.23,63,15,4.76,few clouds,0.0,0.0
118,Honningsvag,NO,2022-02-05 22:04:36,70.9821,25.9704,28.15,74,75,28.77,broken clouds,0.0,0.0
119,Santa Cruz,BO,2022-02-05 22:05:52,-17.8,-63.1667,71.65,94,100,9.22,moderate rain,2.73,0.0
120,Cidreira,BR,2022-02-05 22:02:34,-30.1811,-50.2056,74.91,89,100,3.87,overcast clouds,0.0,0.0
121,Sitka,US,2022-02-05 22:02:13,57.0531,-135.33,44.49,65,100,20.71,light rain,0.0,0.0
122,Benjamin Hill,MX,2022-02-05 22:05:53,30.1667,-111.1,67.62,15,0,3.11,clear sky,0.0,0.0
123,Castro,BR,2022-02-05 21:57:53,-24.7911,-50.0119,67.98,96,68,9.35,moderate rain,2.9,0.0
124,Dalvik,IS,2022-02-05 22:05:54,65.9702,-18.5286,28.69,95,100,28.03,snow,0.0,1.44
125,San Jose,US,2022-02-05 22:02:09,37.3394,-121.895,67.53,40,100,1.99,overcast clouds,0.0,0.0
126,Mwense,ZM,2022-02-05 22:03:13,-10.3845,28.698,65.17,97,100,1.1,light rain,0.36,0.0
127,Zyryanka,RU,2022-02-05 22:05:54,65.75,150.85,-41.01,100,52,2.57,broken clouds,0.0,0.0
128,Torbay,CA,2022-02-05 22:01:47,47.6666,-52.7314,50.4,94,100,5.99,light rain,0.77,0.0
129,Sibolga,ID,2022-02-05 22:05:55,1.7427,98.7792,75.09,91,100,2.57,overcast clouds,0.0,0.0
130,Plaza De Caisan,PA,2022-02-05 22:05:55,8.7333,-82.8167,77.95,65,7,5.1,clear sky,0.0,0.0
131,Laguna,US,2022-02-05 22:02:08,38.421,-121.4238,68.65,46,0,1.01,clear sky,0.0,0.0
132,Sydney,AU,2022-02-05 22:02:14,-33.8679,151.2073,73.35,60,20,7.0,few clouds,0.0,0.0
133,Umm Lajj,SA,2022-02-05 22:04:23,25.0213,37.2685,62.98,59,0,14.09,clear sky,0.0,0.0
134,Adre,TD,2022-02-05 22:05:56,13.4667,22.2,61.09,18,10,17.05,clear sky,0.0,0.0
135,Vysokogornyy,RU,2022-02-05 22:04:53,50.1167,139.15,-8.9,99,100,4.32,overcast clouds,0.0,0.0
136,Tuatapere,NZ,2022-02-05 22:03:44,-46.1333,167.6833,51.28,78,99,3.4,overcast clouds,0.0,0.0
137,Sola,VU,2022-02-05 22:05:57,-13.8833,167.55,82.29,78,99,19.22,overcast clouds,0.0,0.0
138,Seoul,KR,2022-02-05 22:05:57,37.5683,126.9778,22.44,62,16,2.24,few clouds,0.0,0.0
